movieId,name,role,gender,,
467,Jim Carrey,Ace Ventura,2,,
468,Ian McNeice,Fulton Greenwall,2,,
469,Simon Callow,Vincent Cadby,2,,
470,Maynard Eziashi,Ouda,2,,
471,Bob Gunton,Burton Quinn,2,,
472,Sophie Okonedo,The Wachati Princess,1,,
473,Tommy Davidson,The Tiny Warrior,2,,
474,Adewale Akinnuoye-Agbaje,Hitu,2,,
475,Danny Daniels,Wachootoo Witch Doctor (as Danny D. Daniels),2,,
476,Sam Motoana Phillips,Wachootoo Chief,0,,
477,Damon Standifer,Wachati Chief,2,,
478,Andrew Steel,Mick Katie,2,,
479,Bruce Spence,Gahjii,2,,
480,Tom Grunke,Derrick McCane,0,,
481,Arsenio 'Sonny' Trinidad,Ashram Monk,2,,
482,Wesley Snipes,John,2,,
483,Woody Harrelson,Charlie,2,,
484,Jennifer Lopez,Grace Santiago,1,,
485,Robert Blake,Donald Patterson,2,,
486,Chris Cooper,Torch,2,,
487,Joe Grifasi,Riley,2,,
488,Scott Sowers,Mr. Brown,2,,
489,Skipp Sudduth,Kowalski,2,,
490,Aida Turturro,Woman on Platform,0,,
491,Vincent Pastore,Gambler,2,,
492,Enrico Colantoni,Dooley,2,,
493,Bill Nunn,Crash Train Motorman,2,,
494,Katie Gill,Crosswalk Child,1,,
495,Jeremy Roberts,Guard,2,,
496,Joe Bacino,Decoy Cop,2,,
497,John Travolta,Chili Palmer,2,,
498,Gene Hackman,Harry Zimm,2,,
499,Rene Russo,Karen Flores,1,,
500,Danny DeVito,Martin Weir,2,,
501,Dennis Farina,Ray 'Bones' Barboni,2,,
502,Delroy Lindo,Bo Catlett,2,,
503,James Gandolfini,Bear,2,,
504,Jon Gries,Ronnie Wingate,2,,
505,Renee Props,Nicki,1,,
506,David Paymer,Leo Devoe,2,,
507,Martin Ferrero,Tommy Carlo,2,,
508,Miguel Sandoval,Mr. Escobar,2,,
509,Jacob Vargas,Yayo Portillo,2,,
510,Bobby Slayton,Dick Allen,2,,
511,Linda Hart,Fay Devoe,1,,
512,Jeffrey J. Stephen,Bones' Buddy,0,,
513,Sigourney Weaver,Helen Hudson,1,,
514,Holly Hunter,M.J. Monahan,1,,
515,Will Patton,Nico Letti,2,,
516,William McNamara,Peter Foley,2,,
517,Harry Connick Jr.,Doryll Lee Cullum,2,,
518,J.E. Freeman,Lt. Quinn,2,,
519,Dermot Mulroney,Ruben Goetz,2,,
520,John Rothman,Andy,2,,
521,Shannon O'Hurley,Susan Schiffer,1,,
522,Bob Greene,Pachulski,2,,
523,Tony Haney,Kerby,0,,
524,Danny Kovacs,Kostas,0,,
525,Tahmus Rounds,Landis,0,,
526,Scott Devenney,Cop #1,0,,
527,David Michael Silverman,Mike,0,,
528,Diane Amos,Gigi,1,,
529,Sylvester Stallone,Robert Rath,2,,
530,Antonio Banderas,Miguel Bain,2,,
531,Julianne Moore,Electra,1,,
532,Anatoli Davydov,Nicolai Tashlinkov,0,,
533,Muse Watson,Ketcham,2,,
534,Steve Kahan,Alan Branch,2,,
535,Kelly Rowan,"Jennifer, Electra's Neighbor",1,,
536,Reed Diamond,Bob,2,,
537,Kai Wulff,Remy,2,,
538,Kerry Skalsky,Buyer with Remy,0,,
539,James Douglas Haskins,Buyer with Remy,0,,
540,Stephen Liska,Cop,2,,
541,John Harms,Cop,0,,
542,Edward J. Rosen,Cemetery Caretaker,0,,
543,Christina Orchid,Dowager,0,,
544,Choco Orta,Cementary woman,0,,
545,Germán Legarreta,Kid in plaza,2,,
546,Mary Steenburgen,Jessie Caldwell,1,,
547,Sean Patrick Flanery,Jeremy 'Powder' Reed,2,,
548,Lance Henriksen,Sheriff Doug Barnum,2,,
549,Jeff Goldblum,Donald Ripley,2,,
550,Brandon Smith,Deputy Harley Duncan,2,,
551,Bradford Tatum,John Box,2,,
552,Susan Tyrrell,Maxine,1,,
553,Missy Crider,Lindsey Kelloway,0,,
554,Ray Wise,Dr. Aaron Stripler,2,,
555,Esteban Powell,Mitch,2,,
556,Nicolas Cage,Ben Sanderson,2,,
557,Elisabeth Shue,Sera,1,,
558,Julian Sands,Yuri,2,,
