id,movieName,castName,award,,,
399,"Universal Studio Sound Department, Gilbert Kurland, Sound Director",Bride of Frankenstein ,Sound Recording,,,
400,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]",Captain Blood ,Sound Recording,,,
401,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Dark Angel ,Sound Recording,,,
402,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",I Dream Too Much ,Sound Recording,,,
403,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]",The Lives of a Bengal Lancer ,Sound Recording,,,
404,"Columbia Studio Sound Department, John Livadary, Sound Director",Love Me Forever ,Sound Recording,,,
405,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Naughty Marietta ,Sound Recording,,,
406,Republic Studio Sound Department,"$1,000 a Minute ",Sound Recording,,,
407,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",Thanks a Million ,Sound Recording,,,
408,Moss Hart [Third],Broadway Melody of 1936 ,Writing (Original Story),,,
409,Gregory Rogers [Second],G-Men ,Writing (Original Story),,,
410,"Don Hartman, Stephen Avery",The Gay Deception ,Writing (Original Story),,,
411,"Ben Hecht, Charles MacArthur",The Scoundrel ,Writing (Original Story),,,
412,Casey Robinson [Third],Captain Blood ,Writing (Screenplay),,,
413,Dudley Nichols,The Informer ,Writing (Screenplay),,,
414,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt",The Lives of a Bengal Lancer ,Writing (Screenplay),,,
415,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]",Mutiny on the Bounty ,Writing (Screenplay),,,
